,method,iter,train_test,n,p,mse,r2
167,EMLR,0,test,18750.0,6,2.2697494761648693,0.7043949417532545
168,MICELR,0,train,18750.0,6,2.0093924271459183,0.7405199498496131
169,MICELR,0,test,18750.0,6,1.9812917734285649,0.7419627689141468
170,"MLP W0.3, D1",0,train,18750.0,6,1.9990170344177645,0.7418597615205743
171,"MLP W0.3, D1",0,test,18750.0,6,1.9669287779226303,0.7438333604343632
172,"MLP W0.5, D1",0,train,18750.0,6,1.6922515749025997,0.7814734854224118
173,"MLP W0.5, D1",0,test,18750.0,6,1.679351411109512,0.7812865354036446
174,"MLP W1, D1",0,train,18750.0,6,1.352645671734092,0.8253280135847858
175,"MLP W1, D1",0,test,18750.0,6,1.3628618120003129,0.8225051488945232
176,"MLP W2, D1",0,train,18750.0,6,1.2804552045650284,0.8346502274979809
177,"MLP W2, D1",0,test,18750.0,6,1.303798765547554,0.8301973349574532
178,"MLP W4, D1",0,train,18750.0,6,1.2656268287218204,0.8365650688477662
179,"MLP W4, D1",0,test,18750.0,6,1.3144243958561186,0.8288134861674189
180,ConstantImputedLR,0,train,37500.0,6,2.0048094214170886,0.7412690674429212
181,ConstantImputedLR,0,test,37500.0,6,2.026672467426746,0.7378715073605466
182,ExpandedLR,0,train,37500.0,6,1.2684187131993383,0.8363040631029441
183,ExpandedLR,0,test,37500.0,6,1.3345964617196444,0.8273841657124287
184,EMLR,0,train,37500.0,6,2.321457203326756,0.7004040480398752
185,EMLR,0,test,37500.0,6,2.365081249789591,0.6941019365776783
186,MICELR,0,train,37500.0,6,2.0309475829870736,0.7378958037071843
187,MICELR,0,test,37500.0,6,2.066697406309218,0.7326947079191599
188,"MLP W0.3, D1",0,train,37500.0,6,2.010992977246843,0.740471047865968
189,"MLP W0.3, D1",0,test,37500.0,6,2.034844566901619,0.7368145333543974
190,"MLP W0.5, D1",0,train,37500.0,6,1.69287683921975,0.7815255661528125
191,"MLP W0.5, D1",0,test,37500.0,6,1.7207488788052632,0.7774394644118504
192,"MLP W1, D1",0,train,37500.0,6,1.3815746484669333,0.8217007096153797
193,"MLP W1, D1",0,test,37500.0,6,1.432955994056876,0.8146624080714339
194,"MLP W2, D1",0,train,37500.0,6,1.301588590629559,0.8320233203906225
195,"MLP W2, D1",0,test,37500.0,6,1.3496288071273685,0.8254398919800454
196,"MLP W4, D1",0,train,37500.0,6,1.2821950527647747,0.8345261558640262
197,"MLP W4, D1",0,test,37500.0,6,1.3489794808974673,0.8255238754103287
198,ConstantImputedLR,0,train,75000.0,6,1.997084949562144,0.7442883642967246
199,ConstantImputedLR,0,test,75000.0,6,2.022873408524718,0.7382653719553801
200,ExpandedLR,0,train,75000.0,6,1.2778507577256424,0.8363808672663947
201,ExpandedLR,0,test,75000.0,6,1.3045812577441762,0.8312034313117612
202,EMLR,0,train,75000.0,6,2.3455029071095774,0.6996760778477269
203,EMLR,0,test,75000.0,6,2.298856412196255,0.7025566081206293
204,MICELR,0,train,75000.0,6,2.0557036421913826,0.7367826836904506
205,MICELR,0,test,75000.0,6,2.034280881084746,0.7367893870643605
206,"MLP W0.3, D1",0,train,75000.0,6,2.0024293054600113,0.7436040599116138
207,"MLP W0.3, D1",0,test,75000.0,6,2.028785873719649,0.7375003725875993
208,"MLP W0.5, D1",0,train,75000.0,6,1.6442506639821486,0.7894661281758417
209,"MLP W0.5, D1",0,test,75000.0,6,1.6655647110425336,0.7844966678132912
