,method,iter,train_test,n,p,mse,r2
199,ConstantImputedLR,0,test,75000.0,6,7.426071772694487,0.6275937382646071
200,ExpandedLR,0,train,75000.0,6,5.522453967796772,0.7212857484347568
201,ExpandedLR,0,test,75000.0,6,5.591148812031252,0.7196123480046381
202,EMLR,0,train,75000.0,6,5.53643059905424,0.720580357979165
203,EMLR,0,test,75000.0,6,5.577966937832009,0.7202733990479713
204,MICELR,0,train,75000.0,6,6.109570628155248,0.6916543958644097
205,MICELR,0,test,75000.0,6,6.160275400962743,0.6910715108129597
206,"MLP W0.3, D1",0,train,75000.0,6,7.378549596952985,0.6276099464940876
207,"MLP W0.3, D1",0,test,75000.0,6,7.400053446675055,0.6288985179416817
208,"MLP W0.5, D1",0,train,75000.0,6,6.462930583306706,0.6738205748841946
209,"MLP W0.5, D1",0,test,75000.0,6,6.498771524383161,0.6740964424600746
210,"MLP W1, D1",0,train,75000.0,6,5.907694268538392,0.701842949505134
211,"MLP W1, D1",0,test,75000.0,6,5.968868365979072,0.7006702839665164
212,"MLP W2, D1",0,train,75000.0,6,5.690109619098366,0.7128242891549341
213,"MLP W2, D1",0,test,75000.0,6,5.76590686125497,0.710848496292502
214,"MLP W4, D1",0,train,75000.0,6,5.575757347607788,0.7185955654659972
215,"MLP W4, D1",0,test,75000.0,6,5.670479710482261,0.7156340234965342
216,ConstantImputedLR,0,train,750.0,8,7.095501299447931,0.5495856088948914
217,ConstantImputedLR,0,test,750.0,8,8.082539321226633,0.4282699244702449
218,ExpandedLR,0,train,750.0,8,4.329136498605919,0.7251913152095116
219,ExpandedLR,0,test,750.0,8,94.35713271858279,-5.67448786475923
220,EMLR,0,train,750.0,8,5.5379237193862085,0.6484588706582363
221,EMLR,0,test,750.0,8,5.436038344039185,0.6154739878768081
222,MICELR,0,train,750.0,8,6.265563715102486,0.6022691073444348
223,MICELR,0,test,750.0,8,6.195492289489142,0.5617529177604949
224,"MLP W0.3, D1",0,train,750.0,8,6.749968171186418,0.5715196607686697
225,"MLP W0.3, D1",0,test,750.0,8,7.619802435683552,0.4610022854285333
226,"MLP W0.5, D1",0,train,750.0,8,6.0223619227582255,0.6177072818428221
227,"MLP W0.5, D1",0,test,750.0,8,7.8840270793840945,0.4423119741914445
228,"MLP W1, D1",0,train,750.0,8,5.332361037510565,0.6615077570277103
229,"MLP W1, D1",0,test,750.0,8,7.760357132081912,0.45105994627073254
230,"MLP W2, D1",0,train,750.0,8,3.8954895242938954,0.7527187342946888
231,"MLP W2, D1",0,test,750.0,8,7.889871508766999,0.44189856005020545
232,"MLP W4, D1",0,train,750.0,8,2.9842796769526867,0.8105613040072901
233,"MLP W4, D1",0,test,750.0,8,8.665801135407888,0.387012058863615
234,ConstantImputedLR,0,train,3750.0,8,6.578964492132886,0.5644290752060148
235,ConstantImputedLR,0,test,3750.0,8,7.235519711408089,0.54650816749285
236,ExpandedLR,0,train,3750.0,8,4.276404058049072,0.7168737918277912
237,ExpandedLR,0,test,3750.0,8,7.7854705921864555,0.5120395677708587
238,EMLR,0,train,3750.0,8,4.828233907739115,0.6803390091509974
239,EMLR,0,test,3750.0,8,5.365732014546763,0.6636985674736624
240,MICELR,0,train,3750.0,8,5.878108756521615,0.6108303563304858
241,MICELR,0,test,3750.0,8,6.259172708615399,0.6077014762141602
242,"MLP W0.3, D1",0,train,3750.0,8,6.398574404040977,0.5763720910997499
243,"MLP W0.3, D1",0,test,3750.0,8,7.065508396142221,0.5571637590718915
244,"MLP W0.5, D1",0,train,3750.0,8,5.423337433511668,0.6409392231544512
245,"MLP W0.5, D1",0,test,3750.0,8,6.158097886494234,0.6140364194016954
246,"MLP W1, D1",0,train,3750.0,8,4.960030781537836,0.6716131851593781
247,"MLP W1, D1",0,test,3750.0,8,6.2420500890784725,0.60877464972772
248,"MLP W2, D1",0,train,3750.0,8,4.686474170903795,0.6897244405126879
249,"MLP W2, D1",0,test,3750.0,8,5.963850211704996,0.626211043687707
250,"MLP W4, D1",0,train,3750.0,8,4.305299398640665,0.7149607293331133
251,"MLP W4, D1",0,test,3750.0,8,5.949551116134076,0.627107250637904
252,ConstantImputedLR,0,train,7500.0,8,6.719211186817256,0.5646851939237774
253,ConstantImputedLR,0,test,7500.0,8,7.204849491083184,0.5490976645283763
254,ExpandedLR,0,train,7500.0,8,4.6238115867506835,0.7004389967428915
255,ExpandedLR,0,test,7500.0,8,6.448516898867979,0.5964313572925637
256,EMLR,0,train,7500.0,8,5.015999418313646,0.6750304829909737
257,EMLR,0,test,7500.0,8,5.186712412181853,0.6753990846072686
258,MICELR,0,train,7500.0,8,5.580609603170106,0.6384513122675317
259,MICELR,0,test,7500.0,8,5.6653869138250865,0.6454421159032353
260,"MLP W0.3, D1",0,train,7500.0,8,6.284291150346575,0.59286218167888
261,"MLP W0.3, D1",0,test,7500.0,8,6.71350772222198,0.5798473909964261
262,"MLP W0.5, D1",0,train,7500.0,8,6.013046499836449,0.6104351986823773
263,"MLP W0.5, D1",0,test,7500.0,8,6.383021135069061,0.6005302899485447
264,"MLP W1, D1",0,train,7500.0,8,5.390338884697225,0.6507783040246161
265,"MLP W1, D1",0,test,7500.0,8,5.776138834962468,0.6385109093651086
266,"MLP W2, D1",0,train,7500.0,8,5.186807355474388,0.6639644185417287
267,"MLP W2, D1",0,test,7500.0,8,5.664693694240475,0.6454854997837844
268,"MLP W4, D1",0,train,7500.0,8,4.7945527766099945,0.689377256623954
269,"MLP W4, D1",0,test,7500.0,8,5.516274015606538,0.65477407407098
